original_name,qs_canonical_name,similarity_score
Penn State (Pennsylvania State University),Pennsylvania State University,76.59574468085107
Penn State Pennsylvania State University,Pennsylvania State University,76.59574468085107
Pennsylvania State University At Hershey,Pennsylvania State University,76.59574468085107
Politecnico Di Milano,Politecnico di Milano,100.0
Portland State,Portland State University,100.0
Portland State Unversity,Portland State University,73.6842105263158
Prineton University,Princeton University,94.11764705882352
Purdue Univ,Purdue University,100.0
University Purdue,Purdue University,100.0
Furdue University,Purdue University,83.33333333333334
Purude University,Purdue University,83.33333333333334
Queen Margaret University,"Queen Margaret University , Edinburgh",73.6842105263158
"Queen Mary University, London",Queen Mary University of London,91.89189189189189
Queens University Belfast,Queen's University Belfast,100.0
Queens University (Kingston),Queen's University at Kingston,90.9090909090909
Rude University,RUDN University,75.0
RWTH Aachen University,RWTH Aachen University,100.0
Rice Univ,Rice University,100.0
Michigan Technical University,Riga Technical University,81.25
Robert Gordon University Aberdeen,Robert Gordon University,74.28571428571429
Royal Holloway University Of London,Royal Holloway University of London,100.0
Royal Holloway University,Royal Holloway University of London,73.6842105263158
Rutgers - New Brunswick,Rutgers UniversityNew Brunswick,95.45454545454545
Rutgers University New Jersey New Brunswick,Rutgers UniversityNew Brunswick,79.24528301886792
SOAS University Of London,SOAS University of London ,100.0
University Of London SOAS,SOAS University of London ,100.0
Sabanc University,Sabanci University,92.3076923076923
Pittsburg State University,Saint Petersburg State University,75.67567567567568
San Francisco State University,San Francisco State University,100.0
San Francisco State University SFSU,San Francisco State University,88.37209302325581
San Fran State University,San Francisco State University,84.84848484848484
Saint Francis University,San Francisco State University,75.0
Sciences Po University (Paris),Sciences Po ,78.57142857142857
Seattle University,Seattle University,100.0
UW Seattle,Seattle University,82.35294117647058
Seoul National University,Seoul National University,100.0
Seoul National University (SNU),Seoul National University,87.5
School Of Economics And Finance - Queen Mary University,Shanghai University of Finance and Economics,74.28571428571429
Masdar Institute Of Technology Uae,Sharif University of Technology,77.27272727272727
Shenzhen University,Shenzhen University,100.0
Shiraz University,Shiraz University,100.0
SimonFraser University,Simon Fraser University,95.65217391304348
"Simon Fraser University, Canada",Simon Fraser University,77.41935483870968
Singapore Management University,Singapore Management University,100.0
Southern Methodist Univ,Southern Methodist University,100.0
Southern Methodist Unuversity,Southern Methodist University,76.59574468085107
Southwest University,Southwest University,100.0
St Cloud University,St. Louis University,75.0
Stanford Univ.,Stanford University,100.0
Stockholm University,Stockholm University,100.0
State University Of Stony Brook (SUNY),"Stony Brook University, State University of New York",81.4814814814815
Sultan Qaboos University,Sultan Qaboos University,100.0
SUNY Upstate,Sumy State University,81.81818181818181
Swansea University,Swansea University,100.0
Syracuse Univ,Syracuse University,100.0
Syracuse University I-School,Syracuse University,84.21052631578947
Syrasuce University,Syracuse University,75.0
Technical University Of Denmark,Technical University of Denmark,100.0
Technical University Of Munich,Technical University of Munich,100.0
Munich Technical University,Technical University of Munich,91.42857142857143
Technische Universiteit Delft,Technische Universität Wien,82.14285714285714
Technische Universitt Mnchen (TUM),Technische Universität Wien,81.35593220338984
Technische Universitt Darmstadt,Technische Universität Wien,75.86206896551724
Tel Aviv University,Tel Aviv University,100.0
Temple,Temple University,100.0
Temple University (Fox School),Temple University,75.0
Texas A And M University,Texas A&M University,76.19047619047619
Texas A&M University Bush School,Texas A&M University,76.19047619047619
West Texas A&M University,Texas A&M University,76.19047619047619
Texas State University,Texas A&M University,73.6842105263158
Texas Woman University,Texas A&M University,73.6842105263158
Texas Tech Univ,Texas Tech University,100.0
Texas Tech University HSC,Texas Tech University,83.33333333333334
Australian National University,The Australian National University,100.0
Australian National University (ANU),The Australian National University,90.47619047619048
The Hong Kong Polytechnic University,The Hong Kong Polytechnic University,100.0
London School Of Economics And Political Science,The London School of Economics and Political Science (LSE),95.34883720930233
Ohio State Univ,The Ohio State University,100.0
OSU Ohio State University,The Ohio State University,83.33333333333334
Ohio State Uni,The Ohio State University,83.33333333333334
Ohio State Univ. (OSU),The Ohio State University,83.33333333333334
Ohio State University (OSU)university,The Ohio State University,83.33333333333334
Ohio State University Glenn School,The Ohio State University,76.92307692307692
Ohio State University Fisher,The Ohio State University,74.07407407407408
"University Of Alabama, Tusc.",The University of Alabama,80.0
University Of West Alabama,The University of Alabama,80.0
The University Of South Alabama,The University of Alabama,76.92307692307692
University Of South Alabama,The University of Alabama,76.92307692307692
Univ Of Arizona,The University of Arizona,100.0
University Of Arizona UA,The University of Arizona,86.95652173913044
University Of Arizona/ASU,The University of Arizona,86.95652173913044
University Of Arizonaona,The University of Arizona,86.95652173913044
University Of Arizona (Eller),The University of Arizona,76.92307692307692
University Of Arizona - LPL,The University of Arizona,76.92307692307692
"University Of Arizona, Tempe",The University of Arizona,76.92307692307692
